"Data Source","World Development Indicators",
"United Kingdom","GBR","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","30794","","","","32256","38168","36682","36509","38195","39069","39950","42404","42456","45436","45497.6","46213.9","45883.9","46141.3","46787.9","48216.1","45588.2","44642.9","45232.1","45491.6","45658.1","46751.3","47139.7","46333.2","45689","45978","46035.4","","",
"Georgia","GEO","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","12","158","136","118.2","126.6","135.9","127.8","131.9","134.3","115.8","127.9","111.5","150.4","144.6","177.7","129.4","137.1","128.6","121.1","117.6","","",
"Ghana","GHA","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","25","32","37","36","40","47","72","52","67","58.3","71.8","81.9","71.3","74.1","92.1","78.7","79.3","75.8","86.2","81.3","90.2","109.4","111.1","101.5","121.4","121.1","","",
"Guinea","GIN","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2","2","4","3","3","3","3","2","2.8","2.6","2.8","3","2.1","2","3.8","2.9","1.2","2.9","4.5","9.5","4.2","2","3.4","5.5","4","","",
"Gambia, The","GMB","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","22","21.8","24.4","30","23.4","19.7","25.7","27.9","23","19.8","23.7","22.7","24.4","17.2","18.5","19.5","19.2","12.5","","",
"Guinea-Bissau","GNB","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","0","1","1","1","2","3","2","1.6","3.5","4.3","2.2","6.9","4","4.5","7.2","7","7.3","5.8","5.9","9.7","5","5.5","2.3","4.5","","",
"Equatorial Guinea","GNQ","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","2","1","0","1","3","1","0.7","0.5","0.7","0.3","2.2","0.3","1","0.5","1.2","1.3","0.2","0.5","1.3","0","1.6","0.1","0.7","","",
"Greece","GRC","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","793","","","","935","1158","1251","1239","1518","1397","1598","1736","1759","1974","2058.1","2249.3","2434","2611.3","2625.9","2976.1","3203.8","3447.1","3586.9","3928.3","4292","4874.1","4981.7","4953.4","4881.5","4631.2","4534.1","","",
"Grenada","GRD","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","2","1","0","0.5","0","1.9","0.8","0.3","1.5","1.2","2.3","2.2","5.9","6.8","5.5","8.5","8.5","13.3","","",
"Greenland","GRL","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guatemala","GTM","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","19","23","18","15","20","28","25","23","22","19.5","23.8","17.9","16.1","15.8","13.9","16.9","19","15.1","16","19.7","22.2","22.4","15.9","22.1","20.4","22.2","","",
"Guam","GUM","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guyana","GUY","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","5","7","4","4","5","6","8","4","4","7","2.8","6.3","3","4.2","4.1","4.5","8.6","2.8","3","9.2","3.8","6.4","3.4","2.8","8.2","2.9","","",
"High income","HIC","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","308200","","","","329457","393830","383889","404286","430593","442134","449598","478622","498623","523911","519433.1","533437","536795.6","546824.6","550485.8","565979.1","560119.8","563105.8","577782.9","593864.3","605043.6","621497.7","626690.3","638772.8","633431.9","397563.6","407338.8","","",
"Hong Kong SAR, China","HKG","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","0","","","","0","84","634","621","775","827","783","824","959","1075","","","","","","","","","","","","","","","","","","","",
"Honduras","HND","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","4","1","2","5","6","9","3","6","5","5.5","7.9","10.6","11.2","12.4","7.4","7.7","6.4","5.9","7.5","8.3","7.5","5.8","7.1","6.2","9.8","9.7","","",
"Heavily indebted poor countries (HIPC)","HPC","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","573","558","630","591","611","635","701","684","816","819.7","823.9","901.5","884.5","893.8","914","857.4","941.6","980.8","1047.5","1094.9","1213","1330.6","1303.5","1369.7","1412.3","1472.6","","",
"Croatia","HRV","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","0","","","","0","0","0","","","","","17","575","508","600","640.3","580.5","624.6","647.1","678","696.4","719.1","798.3","868","953","985.7","1101.6","1188.3","1164.1","1246.5","1288.6","","",
"Haiti","HTI","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","5","3","4","2","5","6","1","3","2","3.2","1.2","1.7","2.7","0.7","4.7","3","4.8","3.2","6.4","3.2","8.7","4.3","5.2","7","5.8","14","","",
"Hungary","HUN","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","2107","","","","1907","1920","1781","1714","1847","1722","1806","1824","1718","1774","1763.8","1813.1","1991.5","2201.9","2199.6","2358.4","2398.2","2322.7","2450.7","2408.6","2619","2592.2","2452.1","2554.1","2398.9","2221","2289.3","","",
"Indonesia","IDN","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","72","66","59","86","104","89","86","103","120","129.5","141","146.1","136","162.7","181.6","188.7","178.3","156.6","181.6","205.2","215.1","197.5","219","262","247.7","269.9","","",
"Isle of Man","IMN","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"India","IND","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","11725","","","","9586","9925","9051","8882","9744","9200","9517","10100","9763","9928","9370.1","9752.8","9617.6","9944.8","10190.4","10276.4","10800.5","11664.7","12462.2","13368.7","14635.3","16743.3","18202.9","18987.5","19924.3","20881.8","22480.5","","",
"Not classified","INX","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ireland","IRL","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","700","","","","653","776","728","790","826","902","915","946","1003","1168","1217.7","1253.8","1330.8","1520.5","1458.9","1580.9","1588.3","1628.9","1681.1","1935.9","2120.4","2302.6","2498.4","2661.9","2799.9","3055.8","3186.4","","",
"Iran, Islamic Rep.","IRN","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","96","92","86","91","94","126","150","175","233","279.5","317.7","390.6","541.3","664.8","841.1","1034.9","1313.8","1789.8","2115.8","2634.9","3422.7","4366.2","5228.3","6313.3","6992.6","8175.5","","",
"Iraq","IRQ","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","222","187","225","232","164","81","79","74","67","50.8","36.2","40.4","24.7","22.9","28.7","32.5","24","25.6","27.3","39.1","66.5","73.3","68.2","70","68.1","95.6","","",
"Iceland","ISL","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","34","","","","57","59","56","69","68","89","104","105","122","137","155.9","145.3","142.6","174.2","143.2","150.2","177.2","195.2","195","190.9","206.2","232.3","232","232.8","259.6","273.5","258.3","","",
"Israel","ISR","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","3698","","","","4233","4989","4921","4916","5134","4968","4873","5234","5575","5559","5740.7","5750.7","6047.4","6020.3","5928.8","6290.3","6234.5","6381","6524.7","6462","6322","6558.5","6632.2","6609.4","6306.2","6139.2","6096","","",
"Italy","ITA","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","7803","","","","9377","10114","10163","11229","12509","13062","13778","15462","15279","17000","17880.5","19233.8","19401.6","20056","20327.1","21409.4","22092.9","22482.6","23764.5","24759.4","24663.2","25804.9","26561.3","26853.7","26769.7","26347.6","26503.4","","",
"Jamaica","JAM","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","57","89","76","62","56","57","46","53","62","70","57","58.3","46.8","50","36.1","57.4","54.8","47.2","51.1","51.9","39.8","49.4","41.4","50.8","46.6","50.7","","",
"Jordan","JOR","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","119","142","161","174","176","148","135","130","144","154.1","163.1","200.5","220.4","230.3","246.6","232.5","242.2","250.7","281","274.8","285.4","344.1","411.9","382.6","378","341.8","","",
"Japan","JPN","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","25088","","","","29618","31957","30920","34435","36569","38570","39590","44143","43339","46692","47067.9","50345","51462.4","53838.3","55273.8","57101.2","56081.7","56346.5","57231.2","56538.4","55527.3","54469.4","52910.6","51842","49631.9","47043.1","47105.7","","",
"Kazakhstan","KAZ","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","19","250","191","157.6","141.4","115.3","128.5","104.6","112.8","113.6","122.6","119","104.7","96","86","105.5","76.7","98.7","83.3","87.4","","",
"Kenya","KEN","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","267","","","","251","238","232","291","300","255","260","295","346","280","287","274.2","271.9","265.4","242.6","231.7","228.5","241.6","239.4","224.7","225.8","236.5","262.2","285.4","290.5","275.8","289.5","","",
"Kyrgyz Republic","KGZ","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","26","30","13.2","12.3","14.4","17.6","13.9","18.4","17.6","20.3","11.4","11.7","15","17.9","16.1","16.5","15.4","16.5","17.2","","",
"Cambodia","KHM","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","1","0","1","1","1","3.7","2.5","4.3","3.7","7.2","5.5","7.2","10.5","12.7","18.5","21","26.1","25.5","23.4","26.9","22.4","32.5","","",
"Kiribati","KIR","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","0","1","0","0","0","1","0","0","0","0","0","0.3","0","0","0","0","0","0","0","0","0.1","0","0","0","0","0","","",
"St. Kitts and Nevis","KNA","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0.3","0","0","1.5","1.5","0","0.1","0","0","0","1.8","0.3","0","1.7","1.1","0.4","","",
"Korea, Rep.","KOR","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","168","","","","424","516","672","771","1035","1170","1361","1759","2184","2931","3803.2","4770.9","5802.2","7056.6","8478.2","9571.8","11007.7","11734.5","13402.9","15255.6","16395.8","17909.9","18470.1","21090.8","22280.3","24106.4","25592.7","","",
"Kosovo","KSV","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","",
"Kuwait","KWT","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","226","259","304","326","368","209","104","112","186","189.3","208.9","224","234.8","295.9","238.3","244.7","227.8","230.5","244.3","234.1","256.5","242","239.7","214.4","191.6","202.1","","",
"Latin America & Caribbean (developing only)","LAC","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","4804","4937","4833","5519","5914","6088","6906","6919","7527","8460.2","9415.5","10540.7","11803.8","12724.8","13723.9","14698.1","15916.8","16549.2","17970.9","18601.4","19837.8","21293.2","22639.2","21855.1","18109.3","18868.9","","",
"Lao PDR","LAO","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","1","1","1","0","1.8","0.9","2.4","5.5","3.8","3.9","4.5","4.7","8.6","12.1","9.2","18","12.3","12.2","12.2","17.2","21.4","","",
"Lebanon","LBN","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","94","66","54","61","29","47","52","54","62","54.7","62.6","103.2","102.6","124.3","143.7","195","158.8","210.7","198.3","233.7","250.3","238.1","279.8","256.2","264.8","250.7","","",
"Liberia","LBR","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","5","4","4","3","6","7","5","1","1","0.3","1","0.3","1.3","0","1","1","1.3","0","1.1","1.3","2.3","0","1.4","0","1.8","4.4","","",
"Libya","LBY","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","43","43","43","41","36","40","33","25","31","33.9","20","16.2","20.6","17.8","15.8","21.4","19.5","24.9","17.1","19.7","26.2","30.4","37.3","33.6","33.3","17.9","","",
"St. Lucia","LCA","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","4","1","5","2","0","2.8","1","2.7","0.5","0","0.9","0.2","0","0","0.5","0.5","0.3","0.3","0","0.1","0.4","","",
"Latin America & Caribbean (all income levels)","LCN","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","5578","5649","5618","6386","6862","7030","7894","7954","8485","9519.3","10503.8","11693.9","13005.8","13988.9","15055.8","16074","17456.6","18217.2","19709.7","20432.1","21729.9","23337.2","24743.2","24033.6","20283.9","21218.1","","",
"Latin America and the Caribbean","LCR","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Least developed countries: UN classification","LDC","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","618","569","629","584","603","597","692","692","767","845.1","818.1","836.9","837.6","881.5","885.2","874","896.1","968.3","1054","1076.5","1242.5","1327.2","1264.8","1398.9","1421.8","1537.5","","",
"Low income","LIC","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","799","753","889","873","871","857","976","1110","1077","1102.4","1072.4","1096","1055","1075.6","1064","1073.8","1098.3","1139.9","1181.8","1186.3","1361.7","1511.5","1440.9","1545.6","1553.3","1612.1","","",
"Liechtenstein","LIE","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","6","5","7","7","6","8","8","7","13","12.8","8.9","11.7","5.3","16.6","11.1","6.2","6.8","11.7","12.5","12","13.2","14.4","16.5","13","9.8","9.7","","",
"Sri Lanka","LKA","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","52","94","107","101","106","84","82","83","85","85.4","71","62.2","83.5","86.9","97.8","73.2","102.6","141.5","119.1","135.8","125.7","125.5","133.6","134.9","131.2","130.3","","",
"Lower middle income","LMC","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","12928","11981","12012","13074","12471","12913","13650","16687","16959","16025.1","16131","15929.1","16242.1","16748","16936.2","17212.7","18347.1","19178.8","20134.3","21712.7","23899.5","25637.6","26897.8","27960.3","29306.3","31345.1","","",
"Low & middle income","LMY","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","29285","28401","29807","32914","33231","34051","36886","41966","43720","44704.3","47756.8","51092.4","54994.9","59147.6","63927.8","68757.1","74789.3","83393.3","94038.0000000001","104391.9","118509.4","131885.1","144548.7","155113.4","159252.4","174672.8","","",
"Lesotho","LSO","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","7","5","7","4","3","5","4","7","5","2.5","1","2.3","1.3","2.6","6","2.4","2.4","2.6","2.8","0.8","5.7","3","4.8","3.5","4.8","5.7","","",
"Lithuania","LTU","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","5","149","189","178.9","188.6","215.8","257.1","273.9","262","283.3","334.5","307.9","404.3","406.1","515.2","457.5","515","387.6","356.3","457.4","","",
"Luxembourg","LUX","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","13","","","","12","9","10","7","11","17","15","23","22","26","27.8","17.9","33.6","32.1","28.9","40.1","45.5","39.4","38.4","61.7","58.8","65","73.4","111.2","136.8","149.4","204.1","","",
"Latvia","LVA","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","37","180","159","162.9","143.5","159.3","161.6","179.3","149.5","165.4","174.7","132.6","157.3","134","120","146.8","160.7","161.6","133.9","203.5","","",
"Macao SAR, China","MAC","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Martin (French part)","MAF","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Morocco","MAR","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","76","68","113","108","97","128","170","164","182","239.8","273.9","297.4","376","437.8","466.1","457.5","466","400.3","417.1","443.2","399.5","378.6","413.3","390.7","350.4","385.8","","",
"Mexico and Central America","MCA","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Monaco","MCO","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","13","16","9","6","10","9","14","11","15","13.6","20.7","13.3","20","22.7","10.8","20.1","18.1","26.6","26.3","23.5","18.6","14.1","15.7","23.4","22.2","19.6","","",
"Moldova","MDA","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","15","156","159","137.1","119.4","108.3","92.1","93.4","98.7","72.7","73.6","83.1","67.6","89.1","85.3","69.8","73.2","79.8","64.9","76.2","","",
"Madagascar","MDG","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.9","16.6","16","19.9","20.9","28.7","30","23","36","27.8","33.5","46.2","47.9","38","34.9","40.5","32.7","","",
"Maldives","MDV","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","1","1","0","0","1","1.5","0","1.8","2","0","1.8","0.5","1.1","1","1","2.2","1.5","0.7","2.6","1.5","0.3","","",
"Middle East & North Africa (all income levels)","MEA","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","7653","7601","7883","8379","8213","8126","8396","8810","9128","9495.7","9500.4","10011.5","10249.6","10427.1","11154.5","11453.6","11958.3","12902.8","13287.8","13881.5","15206.1","16628.2","17923.2","19171.2","20128.6","21995.8","","",
"Mexico","MEX","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","648","","","","740","866","933","884","1046","1038","1082","1336","1502","1663","1937.3","2123.9","2301.7","2658.9","2883.5","2970.7","3202.8","3320.2","3658.5","3870","3931.6","3998.2","4223.6","4256.8","4127.7","","","","",
"Marshall Islands","MHL","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","3","1","1","1.8","2","2.6","0","1.2","0.3","0.2","0.5","0.5","0.8","0.5","0.7","0","0.3","0.8","0.3","0.3","","",
"Middle income","MIC","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","22766","","","","21944","28486","27648","28918","32041","32360","33194","35910","40856","42643","43601.9","46684.4","49996.4","53939.9","58072","62863.8","67683.3","73691","82253.4","92856.2000000001","103205.6","117147.7","130373.6","143107.8","153567.8","157699.1","173060.7","","",
"Macedonia, FYR","MKD","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","1","27","33","30.8","39.1","53.8","37.1","48.8","56.3","67.7","54.2","57","52.6","42.8","41.5","57.5","46.4","57.2","59.4","77.3","","",
"Mali","MLI","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","12","6","12","7","8","8","6","9","13","13.2","15.9","12.9","15.6","10.7","11.7","11.5","17.7","16.6","23.5","24.3","25","19.4","19.5","25","23.8","28.6","","",
"Malta","MLT","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","3","5","3","11","14","8","12","15","13","18.2","11.5","22.6","20.2","18.6","17.7","20.6","23.4","38.9","21","25.5","20.1","22.5","44.9","38.2","33.4","45.8","","",
"Myanmar","MMR","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","8","14","15","9","9","7","13","9","14","15.6","5.2","4.3","5.3","9.9","7.3","5.8","6.7","6.4","8.7","11.2","15.5","13.4","10","10.2","7.5","9.1","","",
"Middle East & North Africa (developing only)","MNA","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","1892","1804","1994","2195","2089","2258","2208","2177","2412","2551.3","2535.2","2768.3","2997.7","3301.9","3742.9","4086.8","4433.4","5213.9","5617.2","6311.2","7392.6","8702.3","9925","11422.1","12218.6","13541.6","","",
"Montenegro","MNE","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.6","14.7","19.7","10.6","25.9","27.8","","",
"Mongolia","MNG","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","9","12","13","11","12","14","12","14","12","8.3","18.9","16.9","8.6","12.2","12.1","19","16.1","18.4","20.1","21.5","21.1","21.6","26.9","41.8","38.9","24.8","","",
"Northern Mariana Islands","MNP","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Mozambique","MOZ","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","10","8","8","6","4","8","7","13","7","12.8","6.6","9.5","14.6","13.9","9.9","14.3","12.6","9.1","12.9","24.2","20.9","23.9","24.7","28.6","24.1","37.9","","",
"Mauritania","MRT","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","3","1","0","2","1","1","0","4","2","2.1","3.5","2.1","1.7","2.2","5.4","6.5","6.5","7.1","3.9","7.1","6.2","3.3","1.7","2.9","3","5.8","","",
"Mauritius","MUS","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","2","1","3","2","8","7","5","8","12","6.4","5.1","3.3","8.2","16.7","13.2","14.6","23.6","13.5","20","15.4","19","17.8","21.1","21.5","24.8","15.9","","",
"Malawi","MWI","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","21","12","28","24","27","27","15","29","37","38.3","45.5","40.3","30.9","36.4","43.6","44.2","48.5","43.1","42.3","40.5","46.7","62.9","53.7","52.5","55.1","56.7","","",
"Malaysia","MYS","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","186","192","208","241","233","260","247","293","345","365.8","362.2","349","387.1","471.4","459.6","472.4","494.5","479.3","586.1","614.6","724.1","808.1","951","1351.3","1607.7","2092.2","","",
"North America","NAC","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","146718","","","","154427","199137","193320","199053","209725","214351","216918","223044","221221","224334","217076.7","217003","212532.8","212632.1","210129.5","215444.3","212538.8","212837.6","219999.1","226329.6","231426.2","236478.2","237731.9","241519.7","237617.7","","","","",
