Section,Chapter,Role,Name,Affiliation,Country/Organization
,,,,,
PART A: GLOBAL AND SECTORAL ASPECTS,Ch. 15 — Adaptation planning and implementation,LA,,,
PART A: GLOBAL AND SECTORAL ASPECTS,Ch. 15 — Adaptation planning and implementation,LA,,,
PART A: GLOBAL AND SECTORAL ASPECTS,Ch. 15 — Adaptation planning and implementation,LA,,,
PART A: GLOBAL AND SECTORAL ASPECTS,Ch. 15 — Adaptation planning and implementation,LA,,,
PART A: GLOBAL AND SECTORAL ASPECTS,Ch. 15 — Adaptation planning and implementation,LA,,,
PART A: GLOBAL AND SECTORAL ASPECTS,Ch. 15 — Adaptation planning and implementation,LA,,,
,,,,,
PART A: GLOBAL AND SECTORAL ASPECTS,Ch. 15 — Adaptation planning and implementation,RE,,,
PART A: GLOBAL AND SECTORAL ASPECTS,Ch. 15 — Adaptation planning and implementation,RE,,,
,,,,,
PART A: GLOBAL AND SECTORAL ASPECTS,"Ch. 16 — Adaptation opportunities, constraints, and limits",CLA,,,
PART A: GLOBAL AND SECTORAL ASPECTS,"Ch. 16 — Adaptation opportunities, constraints, and limits",CLA,,,
PART A: GLOBAL AND SECTORAL ASPECTS,"Ch. 16 — Adaptation opportunities, constraints, and limits",CLA,,,
,,,,,
PART A: GLOBAL AND SECTORAL ASPECTS,"Ch. 16 — Adaptation opportunities, constraints, and limits",LA,,,
PART A: GLOBAL AND SECTORAL ASPECTS,"Ch. 16 — Adaptation opportunities, constraints, and limits",LA,,,
PART A: GLOBAL AND SECTORAL ASPECTS,"Ch. 16 — Adaptation opportunities, constraints, and limits",LA,,,
PART A: GLOBAL AND SECTORAL ASPECTS,"Ch. 16 — Adaptation opportunities, constraints, and limits",LA,,,
,,,,,
PART A: GLOBAL AND SECTORAL ASPECTS,"Ch. 16 — Adaptation opportunities, constraints, and limits",RE,,,
PART A: GLOBAL AND SECTORAL ASPECTS,"Ch. 16 — Adaptation opportunities, constraints, and limits",RE,,,
,,,,,
PART A: GLOBAL AND SECTORAL ASPECTS,Ch. 17 — Economics of adaptation,CLA,,,
PART A: GLOBAL AND SECTORAL ASPECTS,Ch. 17 — Economics of adaptation,CLA,,,
,,,,,
PART A: GLOBAL AND SECTORAL ASPECTS,Ch. 17 — Economics of adaptation,LA,,,
PART A: GLOBAL AND SECTORAL ASPECTS,Ch. 17 — Economics of adaptation,LA,,,
PART A: GLOBAL AND SECTORAL ASPECTS,Ch. 17 — Economics of adaptation,LA,,,
PART A: GLOBAL AND SECTORAL ASPECTS,Ch. 17 — Economics of adaptation,LA,,,
PART A: GLOBAL AND SECTORAL ASPECTS,Ch. 17 — Economics of adaptation,LA,,,
PART A: GLOBAL AND SECTORAL ASPECTS,Ch. 17 — Economics of adaptation,LA,,,
PART A: GLOBAL AND SECTORAL ASPECTS,Ch. 17 — Economics of adaptation,LA,,,
,,,,,
PART A: GLOBAL AND SECTORAL ASPECTS,Ch. 17 — Economics of adaptation,RE,,,
PART A: GLOBAL AND SECTORAL ASPECTS,Ch. 17 — Economics of adaptation,RE,,,
PART A: GLOBAL AND SECTORAL ASPECTS,Ch. 17 — Economics of adaptation,RE,,,
,,,,,
PART A: GLOBAL AND SECTORAL ASPECTS,Ch. 18 — Detection and attribution of observed impacts,CLA,,,
PART A: GLOBAL AND SECTORAL ASPECTS,Ch. 18 — Detection and attribution of observed impacts,CLA,,,
,,,,,
PART A: GLOBAL AND SECTORAL ASPECTS,Ch. 18 — Detection and attribution of observed impacts,LA,,,
PART A: GLOBAL AND SECTORAL ASPECTS,Ch. 18 — Detection and attribution of observed impacts,LA,,,
PART A: GLOBAL AND SECTORAL ASPECTS,Ch. 18 — Detection and attribution of observed impacts,LA,,,
PART A: GLOBAL AND SECTORAL ASPECTS,Ch. 18 — Detection and attribution of observed impacts,LA,,,
PART A: GLOBAL AND SECTORAL ASPECTS,Ch. 18 — Detection and attribution of observed impacts,LA,,,
PART A: GLOBAL AND SECTORAL ASPECTS,Ch. 18 — Detection and attribution of observed impacts,LA,,,
PART A: GLOBAL AND SECTORAL ASPECTS,Ch. 18 — Detection and attribution of observed impacts,LA,,,
,,,,,
PART A: GLOBAL AND SECTORAL ASPECTS,Ch. 18 — Detection and attribution of observed impacts,RE,,,
PART A: GLOBAL AND SECTORAL ASPECTS,Ch. 18 — Detection and attribution of observed impacts,RE,,,
PART A: GLOBAL AND SECTORAL ASPECTS,Ch. 18 — Detection and attribution of observed impacts,RE,,,
,,,,,
PART A: GLOBAL AND SECTORAL ASPECTS,Ch. 19 — Emergent risk,CLA,,,
PART A: GLOBAL AND SECTORAL ASPECTS,Ch. 19 — Emergent risk,CLA,,,
PART A: GLOBAL AND SECTORAL ASPECTS,Ch. 19 — Emergent risk,CLA,,,
,,,,,
PART A: GLOBAL AND SECTORAL ASPECTS,Ch. 19 — Emergent risk,LA,,,
PART A: GLOBAL AND SECTORAL ASPECTS,Ch. 19 — Emergent risk,LA,,,
PART A: GLOBAL AND SECTORAL ASPECTS,Ch. 19 — Emergent risk,LA,,,
PART A: GLOBAL AND SECTORAL ASPECTS,Ch. 19 — Emergent risk,LA,,,
,,,,,
PART A: GLOBAL AND SECTORAL ASPECTS,Ch. 19 — Emergent risk,RE,,,
PART A: GLOBAL AND SECTORAL ASPECTS,Ch. 19 — Emergent risk,RE,,,
,,,,,
PART A: GLOBAL AND SECTORAL ASPECTS,"Ch. 20 — Climate-resilient pathways: adaptation, mitigation, and sustainable development",CLA,,,
PART A: GLOBAL AND SECTORAL ASPECTS,"Ch. 20 — Climate-resilient pathways: adaptation, mitigation, and sustainable development",CLA,,,
,,,,,
PART A: GLOBAL AND SECTORAL ASPECTS,"Ch. 20 — Climate-resilient pathways: adaptation, mitigation, and sustainable development",LA,,,
PART A: GLOBAL AND SECTORAL ASPECTS,"Ch. 20 — Climate-resilient pathways: adaptation, mitigation, and sustainable development",LA,,,
PART A: GLOBAL AND SECTORAL ASPECTS,"Ch. 20 — Climate-resilient pathways: adaptation, mitigation, and sustainable development",LA,,,
PART A: GLOBAL AND SECTORAL ASPECTS,"Ch. 20 — Climate-resilient pathways: adaptation, mitigation, and sustainable development",LA,,,
PART A: GLOBAL AND SECTORAL ASPECTS,"Ch. 20 — Climate-resilient pathways: adaptation, mitigation, and sustainable development",LA,,,
PART A: GLOBAL AND SECTORAL ASPECTS,"Ch. 20 — Climate-resilient pathways: adaptation, mitigation, and sustainable development",LA,,,
PART A: GLOBAL AND SECTORAL ASPECTS,"Ch. 20 — Climate-resilient pathways: adaptation, mitigation, and sustainable development",LA,,,
,,,,,
PART A: GLOBAL AND SECTORAL ASPECTS,"Ch. 20 — Climate-resilient pathways: adaptation, mitigation, and sustainable development",RE,,,
PART A: GLOBAL AND SECTORAL ASPECTS,"Ch. 20 — Climate-resilient pathways: adaptation, mitigation, and sustainable development",RE,,,
PART A: GLOBAL AND SECTORAL ASPECTS,"Ch. 20 — Climate-resilient pathways: adaptation, mitigation, and sustainable development",RE,,,
,,,,,
PART B: REGIONAL ASPECTS,Ch. 21 — Regional context,CLA,,,
PART B: REGIONAL ASPECTS,Ch. 21 — Regional context,CLA,,,
,,,,,
PART B: REGIONAL ASPECTS,Ch. 21 — Regional context,LA,,,
PART B: REGIONAL ASPECTS,Ch. 21 — Regional context,LA,,,
PART B: REGIONAL ASPECTS,Ch. 21 — Regional context,LA,,,
PART B: REGIONAL ASPECTS,Ch. 21 — Regional context,LA,,,
PART B: REGIONAL ASPECTS,Ch. 21 — Regional context,LA,,,
PART B: REGIONAL ASPECTS,Ch. 21 — Regional context,LA,,,
PART B: REGIONAL ASPECTS,Ch. 21 — Regional context,LA,,,
,,,,,
PART B: REGIONAL ASPECTS,Ch. 21 — Regional context,RE,,,
PART B: REGIONAL ASPECTS,Ch. 21 — Regional context,RE,,,
,,,,,
PART B: REGIONAL ASPECTS,Ch. 22 — Africa,CLA,,,
PART B: REGIONAL ASPECTS,Ch. 22 — Africa,CLA,,,
,,,,,
PART B: REGIONAL ASPECTS,Ch. 22 — Africa,LA,,,
PART B: REGIONAL ASPECTS,Ch. 22 — Africa,LA,,,
PART B: REGIONAL ASPECTS,Ch. 22 — Africa,LA,,,
PART B: REGIONAL ASPECTS,Ch. 22 — Africa,LA,,,
PART B: REGIONAL ASPECTS,Ch. 22 — Africa,LA,,,
,,,,,
PART B: REGIONAL ASPECTS,Ch. 22 — Africa,RE,,,
PART B: REGIONAL ASPECTS,Ch. 22 — Africa,RE,,,
,,,,,
PART B: REGIONAL ASPECTS,Ch. 23 — Europe,CLA,,,
PART B: REGIONAL ASPECTS,Ch. 23 — Europe,CLA,,,
,,,,,
PART B: REGIONAL ASPECTS,Ch. 23 — Europe,LA,,,
PART B: REGIONAL ASPECTS,Ch. 23 — Europe,LA,,,
PART B: REGIONAL ASPECTS,Ch. 23 — Europe,LA,,,
PART B: REGIONAL ASPECTS,Ch. 23 — Europe,LA,,,
PART B: REGIONAL ASPECTS,Ch. 23 — Europe,LA,,,
PART B: REGIONAL ASPECTS,Ch. 23 — Europe,LA,,,
,,,,,
PART B: REGIONAL ASPECTS,Ch. 23 — Europe,RE,,,
PART B: REGIONAL ASPECTS,Ch. 23 — Europe,RE,,,
PART B: REGIONAL ASPECTS,Ch. 23 — Europe,RE,,,
,,,,,
PART B: REGIONAL ASPECTS,Ch. 24 — Asia,CLA,,,
PART B: REGIONAL ASPECTS,Ch. 24 — Asia,CLA,,,
PART B: REGIONAL ASPECTS,Ch. 24 — Asia,CLA,,,
,,,,,
PART B: REGIONAL ASPECTS,Ch. 24 — Asia,LA,,,
PART B: REGIONAL ASPECTS,Ch. 24 — Asia,LA,,,
PART B: REGIONAL ASPECTS,Ch. 24 — Asia,LA,,,
PART B: REGIONAL ASPECTS,Ch. 24 — Asia,LA,,,
PART B: REGIONAL ASPECTS,Ch. 24 — Asia,LA,,,
PART B: REGIONAL ASPECTS,Ch. 24 — Asia,LA,,,
,,,,,
PART B: REGIONAL ASPECTS,Ch. 24 — Asia,RE,,,
PART B: REGIONAL ASPECTS,Ch. 24 — Asia,RE,,,
,,,,,
PART B: REGIONAL ASPECTS,Ch. 25 — Australasia,CLA,,,
PART B: REGIONAL ASPECTS,Ch. 25 — Australasia,CLA,,,
,,,,,
PART B: REGIONAL ASPECTS,Ch. 25 — Australasia,LA,,,
PART B: REGIONAL ASPECTS,Ch. 25 — Australasia,LA,,,
PART B: REGIONAL ASPECTS,Ch. 25 — Australasia,LA,,,
PART B: REGIONAL ASPECTS,Ch. 25 — Australasia,LA,,,
PART B: REGIONAL ASPECTS,Ch. 25 — Australasia,LA,,,
PART B: REGIONAL ASPECTS,Ch. 25 — Australasia,LA,,,
,,,,,
PART B: REGIONAL ASPECTS,Ch. 25 — Australasia,RE,,,
PART B: REGIONAL ASPECTS,Ch. 25 — Australasia,RE,,,
,,,,,
PART B: REGIONAL ASPECTS,Ch. 26 — North America,CLA,,,
PART B: REGIONAL ASPECTS,Ch. 26 — North America,CLA,,,
,,,,,
PART B: REGIONAL ASPECTS,Ch. 26 — North America,LA,,,
PART B: REGIONAL ASPECTS,Ch. 26 — North America,LA,,,
PART B: REGIONAL ASPECTS,Ch. 26 — North America,LA,,,
PART B: REGIONAL ASPECTS,Ch. 26 — North America,LA,,,
PART B: REGIONAL ASPECTS,Ch. 26 — North America,LA,,,
PART B: REGIONAL ASPECTS,Ch. 26 — North America,LA,,,
,,,,,
PART B: REGIONAL ASPECTS,Ch. 26 — North America,RE,,,
PART B: REGIONAL ASPECTS,Ch. 26 — North America,RE,,,
,,,,,
PART B: REGIONAL ASPECTS,Ch. 27 — Central and South America,CLA,,,
PART B: REGIONAL ASPECTS,Ch. 27 — Central and South America,CLA,,,
,,,,,
PART B: REGIONAL ASPECTS,Ch. 27 — Central and South America,LA,,,
PART B: REGIONAL ASPECTS,Ch. 27 — Central and South America,LA,,,
PART B: REGIONAL ASPECTS,Ch. 27 — Central and South America,LA,,,
PART B: REGIONAL ASPECTS,Ch. 27 — Central and South America,LA,,,
PART B: REGIONAL ASPECTS,Ch. 27 — Central and South America,LA,,,
PART B: REGIONAL ASPECTS,Ch. 27 — Central and South America,LA,,,
,,,,,
PART B: REGIONAL ASPECTS,Ch. 27 — Central and South America,RE,,,
PART B: REGIONAL ASPECTS,Ch. 27 — Central and South America,RE,,,
,,,,,
PART B: REGIONAL ASPECTS,Ch. 28 — Polar Regions,CLA,,,
PART B: REGIONAL ASPECTS,Ch. 28 — Polar Regions,CLA,,,
,,,,,
PART B: REGIONAL ASPECTS,Ch. 28 — Polar Regions,LA,,,
PART B: REGIONAL ASPECTS,Ch. 28 — Polar Regions,LA,,,
PART B: REGIONAL ASPECTS,Ch. 28 — Polar Regions,LA,,,
PART B: REGIONAL ASPECTS,Ch. 28 — Polar Regions,LA,,,
PART B: REGIONAL ASPECTS,Ch. 28 — Polar Regions,LA,,,
PART B: REGIONAL ASPECTS,Ch. 28 — Polar Regions,LA,,,
,,,,,
PART B: REGIONAL ASPECTS,Ch. 28 — Polar Regions,RE,,,
PART B: REGIONAL ASPECTS,Ch. 28 — Polar Regions,RE,,,
,,,,,
PART B: REGIONAL ASPECTS,Ch. 29 — Small Islands,CLA,,,
PART B: REGIONAL ASPECTS,Ch. 29 — Small Islands,CLA,,,
,,,,,
PART B: REGIONAL ASPECTS,Ch. 29 — Small Islands,LA,,,
PART B: REGIONAL ASPECTS,Ch. 29 — Small Islands,LA,,,
PART B: REGIONAL ASPECTS,Ch. 29 — Small Islands,LA,,,
PART B: REGIONAL ASPECTS,Ch. 29 — Small Islands,LA,,,
PART B: REGIONAL ASPECTS,Ch. 29 — Small Islands,LA,,,
PART B: REGIONAL ASPECTS,Ch. 29 — Small Islands,LA,,,
,,,,,
PART B: REGIONAL ASPECTS,Ch. 29 — Small Islands,RE,,,
PART B: REGIONAL ASPECTS,Ch. 29 — Small Islands,RE,,,
,,,,,
PART B: REGIONAL ASPECTS,Ch. 30 — The Ocean,CLA,,,
PART B: REGIONAL ASPECTS,Ch. 30 — The Ocean,CLA,,,
,,,,,
PART B: REGIONAL ASPECTS,Ch. 30 — The Ocean,LA,,,
PART B: REGIONAL ASPECTS,Ch. 30 — The Ocean,LA,,,
PART B: REGIONAL ASPECTS,Ch. 30 — The Ocean,LA,,,
PART B: REGIONAL ASPECTS,Ch. 30 — The Ocean,LA,,,
PART B: REGIONAL ASPECTS,Ch. 30 — The Ocean,LA,,,
PART B: REGIONAL ASPECTS,Ch. 30 — The Ocean,LA,,,
,,,,,
PART B: REGIONAL ASPECTS,Ch. 30 — The Ocean,RE,,,
PART B: REGIONAL ASPECTS,Ch. 30 — The Ocean,RE,,,
